,text,intent
0,i want to fly from baltimore to dallas round trip,atis_flight
1,round trip fares from baltimore to philadelphia less than 1000 dollars round trip fares from denver to philadelphia less than 1000 dollars round trip fares from pittsburgh to philadelphia less than 1000 dollars,atis_airfare
2,show me the flights arriving on baltimore on june fourteenth,atis_flight
3,what are the flights which depart from san francisco fly to washington via indianapolis and arrive by 9 pm,atis_flight
4,which airlines fly from boston to washington dc via other cities,atis_airline
5,i'm looking for a flight from charlotte to las vegas that stops in st. louis hopefully a dinner flight how can i find that out,atis_flight
6,okay and then from pittsburgh i'd like to travel to atlanta on september fourth,atis_flight
7,show me all the flights from philadelphia to cincinnati,atis_flight
8,okay i'd like a flight on us air from indianapolis to san diego in the afternoon what's available,atis_flight
9,on tuesday what flights leave phoenix to st. paul minnesota and leave after noon,atis_flight
10,american flights from chicago to los angeles morning,atis_flight
11,what types of ground transportation are there to san francisco airport,atis_ground_service
12,in the next two days i want to fly from nashville to san jose or to tacoma,atis_flight
13,does continental airlines fly from denver to san francisco,atis_flight
14,chicago to milwaukee,atis_flight
15,how many flights does twa have in business class,atis_quantity
16,show me the flights from dallas to baltimore in first class,atis_flight
17,i'd like to find the least expensive one way fare from boston to philadelphia,atis_airfare
18,how many booking classes are there,atis_quantity
19,what are the flights from tacoma to san jose on wednesday the nineteenth,atis_flight
20,what flights leave pittsburgh july fifth after 7 pm and arrive in san francisco,atis_flight
21,please list all the arriving and departing flights from general mitchell international,atis_flight
22,what time zone is denver in,atis_city
23,show me ground transportation in boston and in baltimore,atis_ground_service
24,i want to find the first flight from baltimore to boston that serves a meal,atis_flight
25,from seattle to salt lake city,atis_flight
26,can you show me the flights from dallas to baltimore with economy fares,atis_flight
27,what flights leave from phoenix,atis_flight
28,what are the flights from pittsburgh to denver,atis_flight
29,show flights leaving miami to cleveland on us air that leave after noon,atis_flight
30,please give me a list of all the flights between dallas and baltimore and their cost,atis_flight#atis_airfare
31,what does fare code y mean,atis_abbreviation
32,ground transportation in phoenix,atis_ground_service
33,okay could you tell me what flight leaves dallas to san francisco by united airline,atis_flight
34,show me all flights from denver to san francisco next wednesday which leave after noon,atis_flight
35,is there a flight from atlanta to san francisco that stops over in denver,atis_flight
36,show departures and arrivals in atlanta for american airlines,atis_flight
37,find me the earliest flight from boston to atlanta and the latest return from atlanta to boston within the same day,atis_flight
38,i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,atis_flight
39,i want a flight originating in denver going to pittsburgh and atlanta in either order,atis_flight
40,show me the flights from dallas to atlanta,atis_flight
41,what flights are available from denver to san francisco,atis_flight
42,what is the cost of a flight from boston to denver,atis_airfare
43,show me the earliest flight from san jose to pittsburgh that serves a snack,atis_flight
44,could you please give me the round trip fare from denver to atlanta,atis_airfare
45,do you have a flight leaving boston at 645 am going to washington,atis_flight
46,what are all the flights into atlanta's airport,atis_flight
47,show me the flights from atlanta to denver on friday,atis_flight
48,what does fare code qx mean,atis_abbreviation
49,i would like information on twa flights from washington to philadelphia,atis_flight
50,which airlines fly from boston to washington dc but stopover in some other city,atis_airline
